codigo_ocorrencia4,recomendacao_numero,recomendacao_dia_assinatura,recomendacao_dia_encaminhamento,recomendacao_dia_feedback,recomendacao_conteudo,recomendacao_status,recomendacao_destinatario_sigla,recomendacao_destinatario,,,,,,,
47110,A-042/CENIPA/2013 - RS 002,2014-03-06,2014-07-28,2015-04-30,Consultar o fabricante da aeronave sobre a viabilidade fornecer aos operadores gráficos de cálculo de distância de corrida de decolagem para livrar obstáculo de 50ft,,,,,,,,,,
47110,A-042/CENIPA/2013 - RS 003,2014-03-06,2014-07-28,2015-01-29,Incrementar a fiscalização nas oficinas homologadas para a manutenção de Air Tractor,,,,,,,,,,
47074,A-040/CENIPA/2013 - RSV 001,2014-03-27,2015-04-14,2017-11-27,Realizar auditoria na empresa IVAÍ AEROAGRÍCOLA LTDA. com a finalidade de verificar a conformidade dos procedimentos por ela adotados e avaliar as discrepâncias levantadas nesta investigação.,IMPLEMENTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,,,,,,,
47074,A-040/CENIPA/2013 - RSV 002,2014-03-27,2015-04-14,2016-01-25,Realizar auditoria na empresa Tangará Aeroagrícola Chapadão com a finalidade de verificar a conformidade dos procedimentos de manutenção e controle das cadernetas de manutenção das aeronaves por ela inspecionadas.,IMPLEMENTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,,,,,,,
47047,A-037/CENIPA/2013 - 01,2016-06-16,2016-07-14,2016-09-23,Reforçar,,,,,,,,,,
47047,A-037/CENIPA/2013 - 02,2016-06-16,2016-07-14,2017-03-13,Reforçar,,,,,,,,,,
47025,A-035/CENIPA/2013 - RSV 001,2013-09-16,2013-05-12,2014-12-03,Fiscalizar,,,,,,,,,,
47015,A-032/CENIPA/2013 - 01,2017-05-26,2017-01-06,2017-09-19,Reavaliar os requisitos operacionais de proficiência em língua inglesa,,,,,,,,,,
46969,A-025/CENIPA/2013 - 01,2016-04-15,2016-05-17,2016-07-08,Alertar os Inspetores de Aviação Civil sobre as características de determinadas aeronaves que as permitem mascarar o cômputo de horas para o controle de inspeções.,IMPLEMENTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,,,,,,,
46969,A-025/CENIPA/2013 - 02,2016-04-15,2016-05-17,2016-09-29,Assegurar-se de que os conhecimentos referentes aos fenômenos meteorológicos e suas implicações na condução segura dos voos são adequadamente transmitidos nos cursos aprovados por esta agência.,IMPLEMENTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,,,,,,,
46918,IG-019/CENIPA/2013 – 01,2016-07-03,2016-04-14,2016-11-05,Divulgar o conteúdo do presente relatório durante a realização de seminários,,,,,,,,,,
46916,A-021/CENIPA/2013 - 01,2016-07-03,2016-04-14,2016-06-21,Atuar junto à Cristal Aviação Agrícola Ltda.,,,,,,,,,,
46901,430/2012,2012-09-20,2012-09-20,NULL,Revisar os procedimentos de Vistoria Técnica para fins de emissão de Certificado de Exportação,,,,,,,,,,
46901,431/2012,2012-09-20,2012-01-11,2012-06-11,Revisar a legislação que convalida a Vistoria Técnica realizada pela FAA,,,,,,,,,,
46873,A-020/CENIPA/2013 - RSV 001,2014-02-28,2015-04-14,2016-07-06,Assegurar-se dos adequados métodos de Supervisão e Planejamento Gerencial adotados pelo Aeroclube de Pernambuco,,,,,,,,,,
46865,IG - 017/CENIPA/2013-RSV 001,2014-04-28,2015-04-14,2017-03-13,Atuar junto ao operador da aeronave,,,,,,,,,,
46864,IG-006/CENIPA/2013 – 001,2015-05-15,2015-05-26,2015-10-08,Reforçar junto aos demais operadores brasileiros de aeronave EMB500 a importância do cumprimento do Boletim Operacional nº 500-003/11 de 23 de agosto de 2011,,,,,,,,,,
46864,IG-006/CENIPA/2013 – 002,2015-05-15,2015-05-26,2016-04-18,Atuar,,,,,,,,,,
46862,A-018/CENIPA/2013 - 01,2019-03-09,2019-10-09,2020-09-14,Realizar procedimentos de fiscalização junto ao Centro Nacional de Paraquedismo,,,,,,,,,,
46857,A-002/CENIPA/2013 - 01,2022-09-02,2022-11-02,2022-02-05,Divulgar os ensinamentos colhidos na presente investigação aos Centros de Instrução de Aviação Civil (CIAC) voltados para a formação e qualificação de pilotos de helicópteros,,,,,,,,,,
46856,A-007/CENIPA/2013 - 01,2016-03-06,2016-07-14,2016-09-29,Determinar às oficinas que possuem este modelo de aeronave em seus adendos que inspecionem,,,,,,,,,,
46855,A-003/CENIPA/2013 - RS 001,2014-05-26,2014-07-28,2014-12-30,Divulgar o conteúdo deste relatório em seminários,,,,,,,,,,
46854,A-010/CENIPA/2013 - RS 001,2014-05-26,2014-11-08,2015-07-04,Divulgar o conteúdo do presente relatório durante a realização de seminários,,,,,,,,,,
46853,RSO (A) 0026/2013-CENIPA,2013-02-05,2014-12-02,2018-04-04,Assegurar-se da adequação do treinamento oferecido pelo operador da aeronave aos pilotos recém-ingressos na Casa Militar - PB,,,,,,,,,,
46853,RSO (A) 0027/2013-CENIPA,2013-02-18,2014-12-02,2018-04-04,Certificar-se da adequação dos mecanismos de Supervisão Gerencial adotados pelo operador da aeronave,,,,,,,,,,
46853,RSO (A) 0028/2013-CENIPA,2013-02-18,2014-12-02,2014-09-30,Certificar-se das adequadas condições de infraestrutura do aeródromo do Aeroclube de Campina Grande (SNKB),,,,,,,,,,
46853,RSO (A) 0029/2013-CENIPA,2013-02-18,2014-12-02,2018-04-04,Certificar-se da adequação dos mecanismos de Supervisão Gerencial adotados pelo operador da aeronave,,,,,,,,,,
46853,RSO (A) 0139/2013-CENIPA,2013-02-18,2014-12-02,2014-12-02,Incluir os operadores vinculados às Casas Militares dos Governos Estaduais na Seção 1.3 da Resolução nº 106 da ANAC,,,,,,,,,,
46847,A-112/CENIPA/2013 - RSV 001,2013-11-13,2014-05-02,2015-02-13,Atuar junto ao proprietário e operador,,,,,,,,,,
46847,A-112/CENIPA/2013 - RSV 002,2013-11-13,2014-05-02,2015-02-13,Atuar junto ao proprietário e operador,,,,,,,,,,
46840,A-522/CENIPA/2016 - 01,2019-05-16,2019-05-27,2019-12-23,Realizar uma auditoria na Net Aviation Escola de Aviação Civil,,,,,,,,,,
46840,A-522/CENIPA/2016 - 02,2019-05-16,2019-05-27,2019-11-06,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
46823,IG-158/CENIPA/2013-RSV001,2013-07-11,2014-05-02,2014-04-13,Atuar junto à empresa Aero Agrícola Rosariense Ltda,,,,,,,,,,
46753,A-614/CENIPA/2014 - 01,2016-06-23,2016-07-14,2017-04-17,Realizar gestões junto a EJ AERO AGRÍCOLA LTDA. com o intuito de que a organização confeccione um documento onde conste a padronização referente aos procedimentos operacionais utilizados no planejamento e preparação dos voos.,IMPLEMENTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,,,,,,,
46753,A-614/CENIPA/2014 - 02,2016-06-23,2016-07-14,2017-04-17,Realizar gestões junto a EJ AERO AGRÍCOLA LTDA. com o intuito de que a organização passe a exercer uma supervisão gerencial efetiva na padronização referente aos procedimentos operacionais utilizados no planejamento e preparação dos voos.,IMPLEMENTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,,,,,,,
46752,A-154/CENIPA/2013-RSV001,2013-11-13,2014-05-02,2014-07-30,Realizar uma auditoria na empresa Aerovaley - Manutenção e Comércio de Aeronaves Ltda.,,,,,,,,,,
46751,A-560/CENIPA/2015 - 01,2016-06-23,2016-07-14,2017-01-20,Atuar junto ao operador,,,,,,,,,,
46751,A-560/CENIPA/2015 - 02,2016-06-23,2016-07-14,2016-12-20,Reavaliar os critérios atuais adotados nas Juntas de Saúde,,,,,,,,,,
46747,A-547/CENIPA/2018 - 01,2019-11-03,2019-03-26,2019-07-18,ATUAR JUNTO à AEROSARA AVIACAO AGRICOLA LTDA. ME,,,,,,,,,,
46746,A-047/CENIPA/2014 - RSV 001,2014-04-28,2014-06-16,2014-11-27,Divulgar o conteúdo do presente relatório durante a realização de seminários,,,,,,,,,,
46734,A-617/CENIPA/2014 – 001,2015-04-15,2015-05-26,2015-06-17,Alertar aos operadores de aeronaves R22 a verificação da fixação da haste de controle da mistura do carburador,,,,,,,,,,
46734,A-617/CENIPA/2014 – 002,2015-04-15,2015-05-26,2015-06-17,Alertar às oficinas de aviação homologadas para a manutenção de aeronaves R22 a verificação da fixação da haste de controle da mistura do carburador,,,,,,,,,,
46706,I-152/CENIPA/2013-RSV001,2013-07-11,2014-05-02,2014-04-04,Atuar junto ao proprietário e ao operador (Rio 22),,,,,,,,,,
46585,A-151/CENIPA/2013-RSV001,2013-10-21,2013-06-12,2014-04-28,Atuar junto ao Aeroclube de Bagé,,,,,,,,,,
46583,A-526/CENIPA/2015 - 01,2016-03-06,2016-07-14,2016-12-20,Atuar,,,, uso do checklist, abastecimentos e registros no diário de bordo.;IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,,,,,
46583,A-526/CENIPA/2015 - 02,2016-03-06,2016-07-14,2016-12-19,Atuar,,,,,,,,,,
46583,A-526/CENIPA/2015 - 03,2016-03-06,2016-07-14,2016-12-20,Atuar,,,,,,,,,,
46583,A-526/CENIPA/2015 - 04,2016-03-06,2016-07-14,2016-12-20,Atuar,,,,,,,,,,
46583,A-526/CENIPA/2015 - 05,2016-03-06,2016-07-14,2016-12-20,Atuar,,,,,,,,,,
46583,A-526/CENIPA/2015 - 06,2016-06-06,2016-07-14,2016-12-20,Atuar,,,,,,,,,,
46583,A-526/CENIPA/2015 - 07,2016-03-06,2016-07-14,2016-12-20,Atuar,,,,,,,,,,
46583,A-526/CENIPA/2015 - 08,2016-03-06,2016-07-14,2016-12-20,Realizar uma Auditoria Especial na Empresa Taxi Aéreo Hércules Ltda.,,,,,,,,,,
46583,A-526/CENIPA/2015 - 09,2016-03-06,2016-07-14,2017-03-16,Atuar,,,,,,,,,,
46582,A-052/CENIPA/2014 - RS 001,2014-03-06,2014-07-29,2014-12-30,Divulgar o conteúdo do presente relatório durante a realização de seminários,,,,,,,,,,
46570,A-014/CENIPA/2014 - RSV 001,2014-02-06,2014-07-28,2014-09-30,Tendo em vista a performance das aeronaves que operam hoje segundo o RBAC 135,,,,,,,,,,
46570,A-014/CENIPA/2014 - RSV 002,2014-02-06,2014-07-28,2016-01-25,Divulgar o conteúdo do presente relatório durante a realização de seminários,,,,,,,,,,
46563,A-017/CENIPA/2014 - RSV 001,2014-02-06,2014-07-28,2014-12-30,Divulgar o conteúdo do presente relatório durante a realização de seminários,,,,,,,,,,
46498,A-045/CENIPA/2014 - RSV 001,2014-02-06,2014-07-29,2014-12-30,Divulgar o conteúdo do presente relatório durante a realização de seminários,,,,,,,,,,
46451,IG-550/CENIPA/2015 - 01,2016-04-25,2016-05-18,2016-08-16,Realizar um estudo sobre a viabilidade de implementação de um sistema que restrinja a aceitação de planos de voos para aeródromos de destino e/ou de alternativa que se encontrem interditados.,IMPLEMENTADA,DECEA,DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO,,,,,,,
46446,IG-537/CENIPA/2014 - 01,2016-03-06,2016-07-14,2017-02-13,Atuar junto à Companhia de Engenharia de Transporte e Transito (CETTRANS),,,,,,,,,,
46445,IG-141/CENIPA/2013 - 001,2014-10-14,2014-12-15,2015-03-27,Divulgar o presente relatório às oficinas que possuem a aeronave EMB-810/PA-34 em seus adendos,,,,,,,,,,
46445,IG-141/CENIPA/2013 - 002,2014-10-14,2014-12-15,NULL,Dar ampla divulgação do presente relatório entre seus associados,,,,,,,,,,
46445,IG-141/CENIPA/2013 - 003,2014-10-14,2014-12-15,NULL,Dar ampla divulgação do presente relatório entre seus associados,,,,,,,,,,
46444,A-049/CENIPA/2013-RSV001,2013-09-19,2013-05-12,2017-01-26,Realizar gestões junto a Ortiz Táxi-Aéreo Ltda. com a finalidade de garantir que haja uma avaliação do risco pela administração em todas as operações aéreas realizadas da empresa.,IMPLEMENTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,,,,,,,
46444,A-049/CENIPA/2013-RSV002,2013-09-19,2013-05-12,2015-12-15,Realizar gestões junto a Prefeitura Municipal de Pauini com a finalidade de garantir que ocorram ações concretas que garantam a mínima condição de operação com segurança no aeródromo sob a administração da Prefeitura.,NÃO IMPLEMENTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,,,,,,,
46444,A-049/CENIPA/2013-RSV003,2013-09-19,2015-04-14,2015-08-24,Divulgar o conteúdo do presente relatório durante a realização de seminários,,,,,,,,,,
46443,IG-140/CENIPA/2013 – 001,2015-05-15,2015-07-30,2015-12-15,Tendo em vista os fatos observados durante a investigação e relatados no corpo deste relatório,,,,,,,,,,
46437,A-034/CENIPA/2013 – RSV 001,2013-12-30,2015-03-09,2015-11-26,Divulgar o conteúdo do presente relatório durante a realização de seminários,,,,,,,,,,
46437,A-034/CENIPA/2013 – RSV 002,2013-12-30,2015-03-09,2015-11-26,Rever o processo de fiscalização de tripulantes,,,,,,,,,,
46435,A-555/CENIPA/2015 - 01,2016-03-06,2016-07-14,2016-12-19,Realizar gestões junto ao Aeroclube de Ponta Grossa,,,,,,,,,,
46435,A-555/CENIPA/2015 - 02,2016-03-06,2016-07-14,2016-12-19,Realizar a revisão do MCA 58-3,,,,,,,,,,
46435,A-555/CENIPA/2015 - 03,2016-03-06,2016-07-14,2016-12-19,Expedir um alerta aos aeroclubes,,,,,,,,,,
46434,A-600/CENIPA/2018-01,2019-08-04,2019-04-23,2019-07-17,ATUAR JUNTO à AEROAGRíCOLA CAIçARA LTDA.,,,,,,,,,,
46434,A-600/CENIPA/2018-02,2019-08-04,2019-04-23,2019-10-10,ATUAR JUNTO à AEROAGRíCOLA CAIçARA LTDA.,,,,,,,,,,
46434,A-600/CENIPA/2018-03,2019-08-04,2019-04-23,2019-07-17,ATUAR JUNTO à AEROAGRíCOLA CAIçARA LTDA.,,,,,,,,,,
46432,A-142/CENIPA/2013-RSV001,2013-10-21,2013-06-12,2014-04-28,Realizar visitoria técnica na empresa Táxi Aéreo Dourado Ltda,,,,,,,,,,
46432,A-142/CENIPA/2013-RSV002,2013-10-21,2013-06-12,2015-10-08,Atuar junto à Prefeitura Municipal de Santa Cruz do Arari-PA,,,,,,,,,,
46432,A-142/CENIPA/2013-RSV003,2013-10-21,2013-06-12,2017-05-04,Intensificar a fiscalização das operações da aviação de táxi aéreo,,,,,,,,,,
46415,A-558/CENIPA/2015 - 01,2016-04-22,2016-05-17,2016-07-08,Realizar gestões junto ao operador de forma a avaliar a acuracidade dos registros de manutenção das aeronaves da Helisul Táxi Aéreo,,,,,,,,,,
46415,A-558/CENIPA/2015 - 02,2016-04-22,2016-05-17,2016-09-14,Realizar gestões de forma a avaliar a eficácia do Plano de Resposta a Emergência da Helisul Táxi Aéreo e orientar a empresa a implementar modificações,,,,,,,,,,
46411,A-018/CENIPA/2014 - RSV 001,2014-02-06,2014-07-29,2014-12-30,Divulgar o conteúdo do presente relatório durante a realização de seminários,,,,,,,,,,
46373,IG-563/CENIPA/2014- RSV 001,2014-08-15,2014-08-10,2016-11-07,"""Realizar auditoria técnica na empresa Planave Aviação Ltda. (CHE 765-02/ANAC) com intuito de analisar e propor melhorias no processo de recebimento de partes e registros de manutenção após revisão de motores e demais componentes aeronáuticos constantes na Lista de Capacidade (""""Adendo ao Certificado de Homologação de Empresa"""").""",IMPLEMENTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,,,,,,,
46356,A-173/CENIPA/2013 - RSV 001,2013-12-12,2014-12-02,2016-08-01,Assegurar-se da adequação do planejamento gerencial exercido pela Bahia Air Propaganda Aérea Ltda.,,,,,,,,,,
46356,A-173/CENIPA/2013 - RSV 002,2013-12-12,2014-12-02,2016-08-04,Reavaliar dispositivo no âmbito do RBAC 61,,,,,,,,,,
46356,A-173/CENIPA/2013 - RSV 003,2013-12-12,2014-12-02,2014-08-22,Divulgar o conteúdo do presente relatório durante a realização de seminários,,,,,,,,,,
46305,287/D/12,2012-08-15,2012-08-20,2016-07-06,Adotar ações de fiscalização junto à Go Air (Master Esc Pilotagem Hel Ltda)  visando à substituição imediata de produtos de uso não aeronáutico pelos previstos nos manuais de manutenção,,,,,,,,,,
46305,288/D/12,2012-08-15,2012-08-20,2012-09-30,Divulgar aos demais operadores de R-22 e R-44 a importância do uso dos primers previstos pelo fabricante para a segurança dos voos.,IMPLEMENTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,,,,,,,
46305,A-587/CENIPA/2016 - 01,2018-05-17,2018-07-31,2018-08-10,Implementar medidas de fiscalização de forma a assegurar que as oficinas executantes de revisão geral em células e grandes componentes dos helicópteros modelos R-22 e R-44,,,,,,,,,,
46300,I-053/CENIPA/2014 - RS 001,2014-05-22,2014-07-29,2017-02-20,Por se tratar do certificador primário da aeronave,,,,,,,,,,
46300,I-053/CENIPA/2014 - RS 002,2014-05-22,2014-07-29,2017-02-20,"""Por se tratar do certificador primário da aeronave",,,,,,,,,,
46281,IG-133/CENIPA/2013 - 001,2014-02-10,2014-12-15,2015-03-31,Tendo em vista os fatos observados e relatados neste relatório,,,,,,,,,,
46263,IG - 540/CENIPA/2015 - 01,2015-08-25,2015-03-09,2015-12-15,Assegurar-se de que as empresas de táxi-aéreo incluam,,,,,,,,,,
46263,IG - 540/CENIPA/2015 - 02,2015-08-25,2015-03-09,2015-12-15,Orientar as empresas de táxi-aéreo para que realizem uma avaliação dos riscos envolvidos nos cumprimentos dos voos,,,,,,,,,,
46263,IG - 540/CENIPA/2015 - 03,2015-08-25,2015-03-09,2015-11-26,Divulgar o conteúdo do presente relatório às empresas e aos pilotos de táxi aéreo,,,,,,,,,,
46261,A-042/CENIPA/2014 - RSV 001,2014-09-06,2014-07-29,2015-02-27,Divulgar o conteúdo do presente relatório durante a realização de seminários,,,,,,,,,,
46260,A-535/CENIPA/2017 - 01,2018-09-03,2018-09-03,NULL,Divulgar os ensinamentos colhidos e os procedimentos operacionais apresentados na presente investigação,,,,,,,,,,
46256,A - 523/CENIPA/2015 - 01,2017-02-05,2017-11-05,2017-09-19,Realizar gestões junto à EFAI Escola de Pilotagem LTDA.,,,,,,,,,,
46256,A - 523/CENIPA/2015 - 02,2017-02-05,2017-11-05,2017-09-19,Realizar gestões junto à EFAI Escola de Pilotagem LTDA.,,,,,,,,,,
46256,A - 523/CENIPA/2015 - 03,2017-02-05,2017-02-05,2017-09-19,Realizar gestões junto à EFAI Escola de Pilotagem LTDA.,,,,,,,,,,
46255,A-502/CENIPA/2018 - 01,2019-08-04,2019-04-25,2019-06-06,Analisar a pertinência de publicar um documento similar ao Collision Avoidance Strategies and Tactics (estudo produzido pela Aircraft Owners and Pilots Association - AOPA),,,,,,,,,,
46255,A-502/CENIPA/2018 - 02,2019-08-04,2019-04-25,2019-06-06,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
46219,367/D/12,2012-09-29,2012-08-10,2013-07-08,Atuar junto à AVIANCA LINHAS AÉREAS,,,,,,,,,,
46219,368/D/12,2012-09-29,2012-08-10,2017-05-24,Atuar junto à Autoridade Primária de Certificação da aeronave F.28 Mk.0100,,,,,,,,,,
46219,369/D/12,2012-09-29,2012-08-10,2013-10-10,Atuar junto à AVIANCA LINHAS AÉREAS para que o SOP (Standard Operation Procedures) da empresa relacionado à Landing Policies seja cumprido exatamente conforme está descrito na sua última revisão.,IMPLEMENTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,,,,,,,
46219,370/D/12,2012-09-29,2012-08-10,2015-09-21,Atualizar o site da ANAC,,,,,,,,,,
46209,366/2012,2013-10-21,2013-12-03,2014-02-21,Realizar vistoria na pista do aeródromo Aéreo Amazônia/PA (SSXN) com a finalidade de verificar a interferência na faixa preparada,,,,,,,,,,
46209,IG-131/CENIPA/2013-RSV001,2013-10-21,2013-06-12,2014-02-21,Realizar vistoria na pista do Aeródromo Aéreo Amazônia-PA (SSXN) para verificar o nível de interferência,,,, caso necessário.;NÃO IMPLEMENTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,,,,,,
46202,A-004/CENIPA/2014 - 001,2014-07-15,2014-11-08,2015-07-04,Divulgar o conteúdo do presente relatório durante a realização de seminários,,,,,,,,,,
46201,A-130/CENIPA/2013 - RSV 001,2014-08-15,2014-09-17,2014-11-27,Tendo em vista os fatos levantados durante a investigação e as ações tomadas pelo operador após o acidente,,,,,,,,,,
46199,A-023/CENIPA/2013-RSV001,2013-07-26,2013-12-08,2013-07-10,Divulgar o conteúdo do presente relatório durante a realização de seminários,,,,,,,,,,
46199,A-023/CENIPA/2013-RSV002,2013-07-26,2013-12-08,2013-08-31,Interceder junto ao operador,,,,,,,,,,
46199,A-023/CENIPA/2013-RSV003,2013-07-26,2013-12-08,2013-08-31,Interceder junto ao operador,,,,,,,,,,
46187,285/D/12,2012-07-31,2012-08-08,2013-02-20,Assegurar-se,,,,,,,,,,
46187,286/D/12,2012-07-31,2012-08-08,2013-04-19,Emitir Diretriz de Aeronavegabilidade,,,,,,,,,,
46187,IG-551/CENIPA/2014 - 001,2014-02-09,2014-09-16,2017-11-04,Assegurar-se,,,,,,,,,,
46187,IG-551/CENIPA/2014 - 002,2014-02-09,2014-09-16,2015-02-27,Divulgar o conteúdo do presente relatório durante a realização de seminários,,,,,,,,,,
46172,A-503/CENIPA/2019 - 01,2019-06-08,2019-08-20,2020-07-24,ATUAR JUNTO à LASA PROSPECçõES S.A.,,,,,,,,,,
46170,A-594/CENIPA/2018 - 01,2019-11-03,2019-03-26,2019-08-21,ATUALIZAR O MMA 58-6 - MANUAL DE CURSO DE INSTRUTOR DE VOO-INVA,,,,,,,,,,
46170,A-594/CENIPA/2018 - 02,2019-11-03,2019-03-26,2019-08-13,ATUAR JUNTO AO AEROCLUBE DE BEBEDOURO,,,,,,,,,,
46152,A-521/CENIPA/2016 - 01,2017-10-27,2017-10-27,NULL,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
46093,A-597/CENIPA/2016 - 01,2018-04-12,2018-04-12,NULL,Atuar,,,,,,,,,,
46093,A-597/CENIPA/2016 - 02,2018-04-12,2018-04-12,NULL,Divulgar à comunidade aeronáutica brasileira a importância do cumprimento dos procedimentos de voo estabelecidos pelos fabricantes,,,,,,,,,,
46092,292/2012,2012-08-31,2012-08-20,2015-12-22,Criar requisitos no RBAC 105 que propiciem a adequada separação entre aeronaves e paraquedistas durante os voos de lançamento.,NÃO IMPLEMENTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,,,,,,,
46092,293/2012,2012-08-31,2012-08-20,2015-12-22,Adotar ações de fiscalização nas atividades de lançamento de paraquedistas,,,,,,,,,,
46092,A-003/CENIPA/2014 - RSV 001,2014-02-17,2014-06-16,2016-04-18,Reavaliar a fiscalização da atividade profissional do paraquedismo em campeonatos e eventos,,,,,,,,,,
46092,A-003/CENIPA/2014 - RSV 002,2014-02-17,2014-06-16,2016-03-16,Reavaliar o RBAC 105 descrevendo a necessidade de briefing detalhado entre tripulantes e paraquedistas,,,,,,,,,,
46092,A-003/CENIPA/2014 - RSV 003,2014-02-17,2014-06-16,2016-03-16,Reavaliar o RBAC 105 definindo e descrevendo as atribuições do responsável técnico previsto no RBAC 105.3.,IMPLEMENTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,,,,,,,
46092,A-003/CENIPA/2014 - RSV 004,2014-02-17,2014-07-22,NULL,Reavaliar imediatamente o modo de operação do Centro,,,,,,,,,,
46092,A-003/CENIPA/2014 - RSV 005,2014-02-17,2014-07-22,NULL,Promover o registro do Termo de Ajustamento de Conduta e o estrito cumprimento de um sistema de gestão do risco,,,,,,,,,,
46049,IG-116/CENIPA/2013 – 001,2015-04-24,2015-05-26,2015-08-24,Divulgar o conteúdo do presente relatório durante a realização de seminários,,,,,,,,,,
46048,A-504/CENIPA/2019 - 01,2019-06-28,2019-08-20,2019-09-16,REALIZAR UMA AUDITORIA NA FRETAX TÁXI AÉREO LTDA.,,,,,,,,,,
46042,IG-126/CENIPA/2013 – 001,2015-05-15,2015-05-26,2016-02-23,Atuar,,,,,,,,,,
46042,IG-126/CENIPA/2013 – 002,2015-05-15,2015-05-26,2016-01-25,Realizar auditoria técnica na oficina mantenedora da aeronave,,,,,,,,,,
46042,IG-126/CENIPA/2013 – 003,2015-05-15,2015-05-26,2016-11-02,Avaliar a mudança de classificação das aeronaves modelo Caravan C-208 para TIPO,,,,,,,,,,
46026,IG-123/CENIPA/2013 – 001,2015-05-15,2015-05-26,2015-08-21,Divulgar o conteúdo desse relatório em seus diversos eventos de prevenção de acidentes aeronáuticos.,IMPLEMENTADA DE FORMA ALTERNATIVA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,,,,,,,
45934,A-036/CENIPA/2013-RSV001,2013-08-22,2013-05-11,2014-12-03,Intensificar as ações no sentido de garantir e exigir a capacitação do pessoal de apoio nos serviços de rampa dos helipontos registrados e homologados,,,,,,,,,,
45934,A-036/CENIPA/2013-RSV002,2013-08-22,2013-05-11,2014-01-15,Divulgar o conteúdo do presente relatório durante a realização de seminários,,,,,,,,,,
45932,IG-543/CENIPA/2012 - 01,2018-07-27,2018-07-27,NULL,Divulgar os ensinamentos colhidos na presente investigação,,,,,,,,,,
45900,A-043/CENIPA/2014 - RSV 001,2014-04-23,2014-06-16,2016-05-04,Atuar junto aos aeroclubes,,,,,,,,,,
45866,A-115/CENIPA/2013 - RSV 001,2014-07-21,2014-08-14,2016-05-04,Atuar junto ao Aeroclube de Tupi Paulista,,,,,,,,,,
45859,IG-114/CENIPA/2013-RSV001,2013-10-21,2013-06-12,2015-03-27,Implantar medidas que assegurem que o operador da aeronave adote os adequados mecanismos de Supervisão Gerencial,,,,,,,,,,
45859,IG-114/CENIPA/2013-RSV002,2013-10-21,2013-06-12,2014-12-03,Implantar medidas que assegurem que a oficina mantenedora da aeronave adote os adequados mecanismos de Supervisão Gerencial,,,,,,,,,,
45857,A-596/CENIPA/2018-01,2019-08-04,2019-04-25,2019-03-05,DIVULGAR OS ENSINAMENTOS COLHIDOS NA PRESENTE Investigação,,,,,,,,,,
45821,A-172/CENIPA/2013 - RSV 001,2013-12-30,2014-12-02,2014-05-28,Adotar procedimentos para divulgação deste relatório aos operadores de aeronaves de categoria privada (TPP),,,,,,,,,,
45821,A-172/CENIPA/2013 - RSV 002,2013-12-30,2014-12-02,2015-01-29,Incrementar os mecanismos de fiscalização em eventos de grande monta de modo a coibir operações de aeronaves a margem dos regulamentos aeronáuticos em vigor e que colocam em risco a vida de terceiros.,IMPLEMENTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,,,,,,,
45820,A-507/CENIPA/2015 – 001,2015-09-14,2015-07-12,2016-06-01,Divulgar o conteúdo do presente relatório durante a realização de seminários,,,,,,,,,,
45820,A-507/CENIPA/2015 – 002,2015-09-14,2015-07-12,2016-03-16,Atuar junto ao Aeroclube de Itanhaém,,,,,,,,,,
45820,A-507/CENIPA/2015 – 003,2015-09-14,2015-07-12,2016-03-16,Atuar junto ao Aeroclube de Itanhaém,,,,,,,,,,
45819,A-061/CENIPA/2013 – 01,2016-04-03,2016-04-14,NULL,Prover recursos humanos,,,,,,,,,,
45819,A-061/CENIPA/2013 – 02,2016-04-03,2016-04-14,NULL,Implementar um programa de treinamento nas unidades aéreas de segurança pública,,,,,,,,,,
45799,A-107/CENIPA/2013 - RSV 001,2014-08-15,2014-09-17,2015-03-27,Tendo em vista os fatos observados e relatados neste relatório,,,,,,,,,,
